,Name,Region,Type,Population,%0-9YO,%10-19YO,%20-29YO,%30-39YO,%40-49YO,%50-59YO,%60-69YO,%70-79YO,%80+YO,AreaKM2,PopDensity,Businesses,%BusinessGrowth,BusinessesPer1kCap,%Unemployment,UnemploymentChange,2019Wage,HousePrice,%HousePriceGrowth,HousePricePerWage,%OwnOutright,%OwnWithMort,%PrivateRent,%SocialHousing,%Heavy Industry & Manufacturing,%Wholesale & Retail,%Agriculture,%Hospitality,%Public Admin & Defence,%Transport,%Health & Social Work,%Support & Admin,%Education,%Sciences,%FS & ICT,%Other Industry,%NoQuals,%Level1,%Level2,%Level3,%Level4+,%White,%Mixed,%Asian,%Black,%NoReligion,%Christian,%Muslim,%Buddhist,%Hindu,%Jewish,%Sikh,%BornUK,%BornIreland,%BornOtherEU,%BornOtherEurope,%BornAfrica,%BornME,%BornSouthAsia,%BornSEAsia,%BornEastAsia,%BornNAmerica,%BornLatinAmerica,%BornAustralasia,MbpsSpeed,%UnableDecent,%Under10Mbps,LASpendGrowth15to19,%ChildcareGood,%FSM_GoodEarlyYears,%FSM_GoodPrimary,%FSM_GoodKS2,%FSM_GoodSecondary,%FSM_AttainmentScore,%FSM_Neet,%FSM_KS5Score,%FSM_2ALevels,%ProfessionalJobs,%JobsSubLivingWage,%FamiliesOwnHouse,PerPupilFunding,%13-19PerPupilGrowth,%5GoodGCSEs,Avg8Score,PupilProgress,%BadSchools,High Blood Pressure,Depression,Obesity,Diabetes,Asthma,DiseasesPerPop,%LeaveVote,%17Turnout,Winner_17,seat_types_17,seat_types_yg
E14000540,Barking,London,Large City,140733,0.1876,0.141,0.1398,0.1728,0.1399,0.1029,0.0597,0.0337,0.0227,20.454601296369,6880.261216579283,4850,1.2663551401869158,34.46242174898567,0.052461021,-0.027206481000000005,590,300000.0,0.9339242546333602,9.778357235984355,0.146395998,0.283139998,0.187018507,0.35847427600000004,0.158,0.153,0.001,0.062,0.052000000000000005,0.084,0.138,0.078,0.08800000000000001,0.044,0.08,0.063,0.272,0.19375,0.17275,0.11774999999999998,0.24475,0.550039652,0.044083622,0.186292545,0.202235249,0.2456975140000001,0.534546614,0.16663805199999998,0.004954502,0.026816446,0.001929476,0.016629467,0.6640095495,0.007309116999999999,0.07220818700000001,0.019989699,0.11193413599999999,0.003818073,0.090301113,0.009091429,0.004578418,0.012557946,0.003188541,0.001013792,57.5,0.00544,0.1913,0.0243,0.8478,0.6188,0.8087,0.4968,0.9628,45.92,0.8903,28.89,0.4528,0.2054,0.2993,0.4342,5370.12,-0.05947916976809753,0.625,48.1,0.34,0.065,0.11208,0.06383,0.12782000000000002,0.08048,0.04385,0.5685299999999999,0.6,0.6203682064864584,Lab,lab safe,lab safe
E14000541,Barnsley Central,Yorkshire and The Humber,Large Town,91272,0.1172,0.1051,0.1276,0.1365,0.1272,0.1438,0.1115,0.08470000000000001,0.0463,48.367325701991405,1887.0590564043134,2580,0.2585365853658537,28.26715750723113,0.04691912,-0.018120646,510,120646.0,0.2699578947368422,4.5492458521870285,0.29484302,0.334847245,0.137915555,0.211032188,0.25,0.17600000000000002,0.002,0.048,0.058,0.052000000000000005,0.14300000000000002,0.05,0.08900000000000001,0.037000000000000005,0.04,0.054000000000000006,0.319,0.1955,0.1735,0.1285,0.1825,0.97311991,0.007093357,0.0098817,0.007198357,0.309879366,0.676528922,0.006638355,0.0016916720000000002,0.001306671,0.000163334,0.001271671,0.956284855,0.00205334,0.019915066,0.002648342,0.00718669,0.002566675,0.0031733440000000003,0.0017616729999999996,0.002205007,0.00113167,0.0004083344,0.0006650019999999999,51.9,0.0075400000000000016,0.1774,0.0,0.9309,0.4888,0.6775,0.443,0.7304,39.47,0.8624,23.76,0.2083,0.2186,0.2407,0.6398,4356.15,-0.059973198505849035,0.5710000000000001,39.1,-0.24,0.13,0.15107,0.112,0.14917,0.07316,0.05575,0.8017100000000001,0.682,0.6098218179552676,Lab,lab safe,lab safe
E14000542,Barnsley East,Yorkshire and The Humber,Small Town,95016,0.1219,0.1094,0.1241,0.126,0.1245,0.1431,0.1149,0.0875,0.0485,86.809203518126,1094.538322542729,2005,0.3322259136212624,21.10170918582133,0.046734659000000005,-0.02049268599999999,520,117500.0,0.17558779389694856,4.345414201183432,0.29245984,0.335041377,0.121160104,0.230970254,0.261,0.183,0.003,0.045,0.056,0.052000000000000005,0.138,0.056,0.084,0.031,0.042,0.05,0.342,0.2,0.17600000000000002,0.122,0.159,0.981268107,0.006988522,0.005285623000000001,0.005274565,0.305626203,0.686522768,0.002377424,0.001293761,0.0008956810000000002,0.000243271,0.000508658,0.9715593690000001,0.001912997,0.013092421000000002,0.0015591479999999998,0.0050202350000000005,0.000729814,0.001879824,0.001304819,0.0011721251999999998,0.000973085,0.0002322132,0.000563947,39.6,0.0042,0.2331,0.0,0.9259,0.4939,0.8997,0.4137,0.0,33.98,0.8937,29.63,0.2415,0.1819,0.3467,0.6269,4569.7,-0.08419909255607405,0.586,40.7,-0.34,0.41,0.15787,0.12084,0.16552999999999998,0.07951,0.05868,0.8586400000000001,0.71,0.5904441298003295,Lab,lab safe,con lab marginal
E14000543,Barrow and Furness,North West,Small Town,86728,0.1053,0.1062,0.1103,0.1084,0.1236,0.15439999999999998,0.1275,0.1085,0.0558,281.40652598139803,308.19470052280536,3085,0.14684014869888484,35.570980536850854,0.033181571,-0.007770355,630,132000.0,0.17333333333333334,4.029304029304028,0.384737956,0.356828084,0.13750778,0.107456741,0.3,0.146,0.009000000000000001,0.067,0.059,0.039,0.141,0.034,0.084,0.036000000000000004,0.034,0.051,0.24,0.22650000000000006,0.16150000000000006,0.1415,0.2315,0.984283881,0.005133632,0.008443474,0.0010469910000000002,0.287550942,0.7020016659999999,0.002195303,0.003838966,0.001260892,0.000348997,0.000101322,0.970278972,0.00260059,0.009828203,0.000945669,0.003309842,0.000765542,0.002578074,0.003118456,0.0018350479000000001,0.002859523,0.0005628978,0.001317182,32.2,0.00925,0.1898,-0.1381,0.9035,0.4543,0.9131,0.3952,0.5166,36.1,0.8977,29.28,0.2912,0.2921,0.2683,0.7362,4549.46,-0.056772451998532085,0.624,45.2,-0.2,0.165,0.16287,0.10706,0.11327,0.07293,0.07031,0.79347,0.573,0.6858680945389642,Lab,con lab marginal,con safe
E14000544,Basildon and Billericay,East of England,Large Town,96192,0.1384,0.1187,0.1145,0.1378,0.1338,0.1335,0.0956,0.07730000000000001,0.0504,60.21576927591751,1597.4553037632736,4510,0.4835526315789474,46.88539587491683,0.037466242,-0.009641858999999996,590,300000.0,0.5789681443176884,9.778357235984355,0.30798845,0.358036574,0.096299861,0.222703454,0.198,0.156,0.002,0.041,0.045,0.058,0.107,0.048,0.084,0.062,0.141,0.057,0.258,0.22175,0.18475,0.11774999999999998,0.21675,0.927079733,0.01690323,0.027774371000000003,0.025555543,0.363464047,0.610199917,0.009488555,0.0030439190000000004,0.007102479,0.002675973,0.000758192,0.9252177009999999,0.007459275,0.016490684,0.00294357,0.01789557,0.001460635,0.012710872,0.005374246,0.0022411279,0.004761002,0.001382587,0.002040429,49.8,0.01988,0.2099,-0.1138,0.9397,0.5404,0.7304,0.3754,0.8148,33.86,0.8735,33.26,0.3432,0.3148,0.209,0.6614,4309.34,-0.1189623835410869,0.66,47.0,-0.01,0.04,0.14171,0.09134,0.08027999999999999,0.0633,0.06067,0.6647599999999998,0.6709999999999999,0.6513326295391112,Con,con safe,con safe
E14000545,Basingstoke,South East,Large Town,114883,0.138,0.1127,0.1193,0.15789999999999998,0.145,0.1344,0.08960000000000001,0.0664,0.0367,58.900191216421796,1950.4690498860348,4445,0.3804347826086956,38.69153834771028,0.022538092000000003,-0.009619879999999996,640,285000.0,0.6285714285714286,8.563701923076923,0.238564139,0.404619103,0.123825083,0.208038672,0.185,0.18600000000000005,0.002,0.045,0.048,0.047,0.1,0.055,0.068,0.061,0.151,0.052000000000000005,0.177,0.20725,0.18225,0.13924999999999998,0.29325,0.903616801,0.020445202,0.056492833,0.015870958,0.391921923,0.564391274,0.011667098999999998,0.006870625,0.017509908,0.001000037,0.002666765,0.8708192899999999,0.007815104,0.040186674,0.00325012,0.021861921,0.001833401,0.026408385,0.007666951,0.009704063,0.005500204,0.002638987,0.0023149,55.4,0.00559,0.1954,-0.2212,0.9544,0.5437,0.8738,0.48,0.5272,34.75,0.9203,23.57,0.2526,0.3195,0.1617,0.6542,4232.35,-0.08038372118288672,0.569,42.7,-0.38,0.33,0.1222,0.1119,0.07876,0.05995,0.05906,0.61753,0.536,0.6851664122137404,Con,con safe,con safe
E14000546,Bassetlaw,East Midlands,Small Town,107497,0.1147,0.1049,0.111,0.1098,0.1274,0.153,0.1241,0.1,0.0552,479.56809800537,224.15377596446442,3415,0.21530249110320288,31.768328418467487,0.036364961,-0.001446555000000002,550,144000.0,0.18518518518518512,5.034965034965035,0.335689126,0.352709919,0.126962845,0.163640495,0.246,0.191,0.014,0.049,0.053,0.056,0.149,0.034,0.084,0.034,0.035,0.054000000000000006,0.28800000000000003,0.2,0.177,0.124,0.21,0.974212007,0.008862515,0.010769883,0.004421625,0.277859125,0.708066816,0.005240444,0.00173397,0.00236976,0.000404593,0.001146347,0.952778206,0.002745453,0.025210003,0.00133901,0.004951448999999999,0.001223412,0.004884017,0.001868835,0.001493141,0.002186729,0.0005201915,0.000799553,33.7,0.00994,0.2371,-0.1137,0.901,0.4615,0.8333,0.3574,0.9042,43.2,0.8759,26.62,0.2325,0.2552,0.253,0.7014,4481.53,-0.09268463536552528,0.696,47.1,0.12,0.105,0.14954,0.11681,0.12872,0.07917,0.059870000000000013,0.8139000000000001,0.6829999999999999,0.6668831168831169,Lab,con lab marginal,con lab marginal
E14000547,Bath,South West,Large Town,97227,0.0898,0.1301,0.2554,0.1033,0.1058,0.1114,0.0863,0.0688,0.049100000000000005,28.681651743504805,3389.867531670935,4275,0.21104815864022666,43.969267795982596,0.027668643,-0.0014498569999999988,650,357750.0,0.6261363636363637,10.58431952662722,0.305649867,0.26596817,0.234137931,0.174986737,0.109,0.141,0.002,0.087,0.066,0.026,0.132,0.035,0.149,0.08900000000000001,0.095,0.071,0.139,0.124,0.132,0.214,0.391,0.916530683,0.022890197,0.041920346,0.012052803,0.4558682860000001,0.511518248,0.010781125,0.0077426030000000015,0.004704082,0.002048189,0.000956572,0.863840466,0.006178327,0.04761476,0.005007934,0.013662093,0.005514354,0.009790792,0.008440338,0.019097671000000004,0.012007788,0.00333112,0.005514354,45.1,0.00717,0.1899,0.0118,0.9562,0.4919,0.9211,0.3305,0.7932,36.11,0.7997,26.67,0.2875,0.3948,0.1747,0.6482,4236.54,-0.08801198607651894,0.713,50.5,0.03,0.155,0.09836,0.0776,0.05152,0.03789,0.056129999999999985,0.50015,0.317,0.7441822156997814,LD,con ld marginal,ld safe
E14000548,Batley and Spen,Yorkshire and The Humber,Large Town,111704,0.1358,0.1251,0.1168,0.1375,0.1316,0.1286,0.1019,0.0786,0.0442,55.047036054157,2029.2464046584107,3545,0.2638146167557933,31.735658526104704,0.049705651,-0.0049417,520,130000.0,0.09243697478991586,4.807692307692308,0.302678387,0.367836405,0.143742397,0.164145877,0.262,0.183,0.002,0.044,0.048,0.055,0.112,0.048,0.09,0.045,0.067,0.044,0.28600000000000003,0.21075,0.16875,0.12875,0.20475,0.777949749,0.013290207,0.202189084,0.004124227,0.264636373,0.536075404,0.187740387,0.0016404229999999998,0.003855457,0.0003892530000000001,0.003095487,0.9019175340000001,0.002595019,0.013253135,0.0015940829999999998,0.006904604999999999,0.0015940829999999998,0.06511645099999999,0.002261374,0.001353117,0.002150159,0.000352182,0.000898989,40.6,0.00745,0.2187,0.017,0.7991,0.4776,0.7372,0.3333,0.9454,44.39,0.9062,26.77,0.3547,0.2343,0.3183,0.7128,4538.11,-0.08147325042909437,0.654,48.2,0.1,0.1,0.14628,0.11011,0.11455,0.07829,0.06779,0.7567099999999999,0.596,0.67249660059131,Lab,lab safe,con lab marginal
E14000549,Battersea,London,Large City,117649,0.1179,0.0716,0.2106,0.2545,0.1347,0.0943,0.0576,0.0371,0.0218,10.2964762427599,11426.142034050381,6885,0.2702952029520296,58.52153439468249,0.023482183,-0.012162963000000006,830,749825.0,0.84685960591133,17.373146431881366,0.166638914,0.253330281,0.316917825,0.235055366,0.066,0.096,0.0,0.055,0.04,0.028,0.081,0.056,0.07200000000000001,0.191,0.219,0.094,0.107,0.08975000000000001,0.09875,0.10875,0.59475,0.734839611,0.050389377,0.070800026,0.122388927,0.364758362,0.550553374,0.05545924,0.007581366,0.011076854,0.004751239,0.001855514,0.655820971,0.019913972,0.098548389,0.014797252,0.064071447,0.009108885,0.019576606,0.015631296,0.010851943000000001,0.03797243,0.018086572,0.035620238,50.3,0.00242,0.1325,0.0137,0.9062,0.6141,0.8606,0.5015,0.3843,47.2,0.9168,26.17,0.5077,0.4472,0.1987,0.4694,5546.78,-0.06717231172849891,0.8009999999999999,55.8,0.78,0.07500000000000001,0.07611,0.06695,0.05056,0.03729,0.03934,0.37531,0.22,0.7111918941913528,Lab,con lab marginal,con lab marginal
E14000550,Beaconsfield,South East,Small Town,102799,0.1213,0.1138,0.087,0.1109,0.138,0.1497,0.1145,0.0951,0.0697,176.27988925595704,583.1578430976699,7675,0.2309542902967121,74.66025934104417,0.013907191,-0.005706219,790,525000.0,0.5957446808510638,12.779941577409932,0.379610351,0.359086853,0.11850585,0.11756395,0.174,0.151,0.003,0.048,0.038,0.053,0.08900000000000001,0.051,0.091,0.105,0.126,0.071,0.165,0.16649999999999998,0.16149999999999998,0.1235,0.3825,0.87552698,0.022829948,0.083964704,0.010111986,0.28727097100000004,0.630132714,0.019690704,0.004336583,0.018533611,0.003954239,0.032469035,0.8665419019999999,0.011168463,0.032841317,0.003883808,0.021974705,0.003722821,0.02638172,0.006540091,0.005684848,0.012476481,0.002726715,0.006057129999999999,38.3,0.0233,0.19,-0.1281,0.8936,0.5098,0.8301,0.3839,0.35100000000000003,39.3,0.9506,27.96,0.4255,0.435,0.162,0.7576,4166.01,-0.009538459343862438,0.755,54.2,0.16,0.12,0.13845,0.08129,0.07341,0.05601,0.05629,0.62188,0.49,0.7241241422011249,Con,con safe,con safe
