objectid,pcon17cd,pcon17nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1,E14000530,Aldershot,484884,155126,-0.7841,51.28900146,53001999.8725476,40826.5691409278
2,E14000531,Aldridge-Brownhills,404723,302568,-1.93159997,52.6208992,44033493.8599304,38222.2918981779
3,E14000532,Altrincham and Sale West,374132,389051,-2.39039993,53.39770126,50926031.2828145,46097.7824569584
4,E14000533,Amber Valley,440478,349675,-1.39769995,53.0428009,124637738.388637,62106.0108285084
5,E14000534,Arundel and South Downs,510689,115542,-0.42629999,50.92869949,645220941.112194,328652.510839566
6,E14000535,Ashfield,450035,355939,-1.25419998,53.09830093,107725735.169015,60676.2165306384
7,E14000536,Ashford,595733,138824,0.79516,51.11529922,503659275.716923,151770.477917971
8,E14000537,Ashton-under-Lyne,392394,399819,-2.11610007,53.49499893,27805725.6396804,36824.9177724408
9,E14000538,Aylesbury,482160,199541,-0.81279999,51.68859863,185468104.907871,147583.769572608
10,E14000539,Banbury,441108,233685,-1.40260005,52.00009918,463644230.992815,187891.485542627
11,E14000540,Barking,546099,184533,0.10534,51.54079819,20454601.296369,30267.7435040945
12,E14000541,Barnsley Central,433719,408537,-1.49220002,53.57239914,48367325.7019914,49661.2950387081
13,E14000542,Barnsley East,439730,404883,-1.40190005,53.53910065,86809203.518126,58498.4569622204
14,E14000543,Barrow and Furness,325384,484663,-3.14669991,54.25220108,281406525.981398,192290.512767756
15,E14000544,Basildon and Billericay,569070,192467,0.44009,51.60570145,60215769.2759175,37877.9283388679
16,E14000545,Basingstoke,465234,151979,-1.06640005,51.26319885,58900191.2164218,47418.3932782507
17,E14000546,Bassetlaw,469769,385125,-0.95310003,53.35839844,479568098.00537,140663.250706056
18,E14000547,Bath,374693,164413,-2.36490011,51.37820053,28681651.7435048,33999.2097363553
19,E14000548,Batley and Spen,420570,425305,-1.68970001,53.72380066,55047036.054157,45295.2275299024
20,E14000549,Battersea,527493,175641,-0.16599999,51.4654007,10296476.2427599,21631.6760830296
21,E14000550,Beaconsfield,498198,185455,-0.5848,51.55939865,176279889.255957,104174.477593683
22,E14000551,Beckenham,540141,167041,0.01256,51.38510132,34480725.3262058,35979.0801709035
23,E14000552,Bedford,505470,248675,-0.46070001,52.12630081,33967226.7949843,35427.3807081796
24,E14000553,Bermondsey and Old Southwark,533846,178919,-0.0733,51.49340057,10426517.6674669,20662.2751412012
25,E14000554,Berwick-upon-Tweed,404456,611882,-1.93120003,55.40090179,2379418011.42358,402921.871158247
26,E14000555,Bethnal Green and Bow,535339,182777,-0.0503,51.52769852,9176220.81991577,16000.8347948465
27,E14000556,Beverley and Holderness,523478,430751,-0.1285,53.75849915,776193495.412098,246672.325214598
28,E14000557,Bexhill and Battle,572483,119019,0.45390999,50.94480133,528952118.69677,177037.509981133
29,E14000558,Bexleyheath and Crayford,549971,175943,0.15748,51.46260071,21613659.5684719,28473.9525845458
30,E14000559,Birkenhead,330482,388287,-3.0466001,53.38679886,25105826.2425638,24058.2032240404
31,E14000560,"Birmingham, Edgbaston",402500,283463,-1.96459997,52.44910049,28310221.9197798,30196.9619046117
32,E14000561,"Birmingham, Erdington",410573,292673,-1.84549999,52.53179932,22031576.2090429,24976.9245726481
33,E14000562,"Birmingham, Hall Green",408501,282513,-1.87629998,52.44049835,19760733.5743124,25501.9107297404
34,E14000563,"Birmingham, Hodge Hill",410878,287656,-1.84119999,52.48669815,20509353.8613736,29198.3736154898
35,E14000564,"Birmingham, Ladywood",407075,288133,-1.89719999,52.49110031,25736807.335809,35654.4608198677
36,E14000565,"Birmingham, Northfield",401888,279459,-1.97360003,52.4131012,24426213.2226492,32982.2135899454
37,E14000566,"Birmingham, Perry Barr",406035,291868,-1.91240001,52.52470016,24868515.5635069,28072.6473556184
38,E14000567,"Birmingham, Selly Oak",406396,280770,-1.9073,52.42490005,21872699.2470558,30371.2194245486
39,E14000568,"Birmingham, Yardley",412993,284792,-1.81009996,52.46089935,22601357.8057529,27634.3168818482
40,E14000569,Bishop Auckland,400989,521813,-1.98619998,54.59149933,922670335.384853,194979.373725869
41,E14000570,Blackburn,367090,427991,-2.50049996,53.74729919,40336230.7312173,31148.6908496791
42,E14000571,Blackley and Broughton,384164,401961,-2.24020004,53.51409912,28115285.2010108,34206.8051375191
43,E14000572,Blackpool North and Cleveleys,333059,443882,-3.01990008,53.88679886,23013371.5185084,35248.1831247527
44,E14000573,Blackpool South,332763,433883,-3.02220011,53.7969017,20185814.4861006,23663.9411239545
45,E14000574,Blaydon,417664,559658,-1.72580004,54.93130112,110329842.647693,75852.4646108013
46,E14000575,Blyth Valley,428115,577679,-1.56099999,55.09280014,70362520.3510292,49299.6677553412
47,E14000576,Bognor Regis and Littlehampton,494562,100500,-0.65960002,50.79629898,61196387.4149679,67775.4782878129
48,E14000577,Bolsover,447998,366869,-1.28289998,53.19680023,226396312.170243,116473.099049677
49,E14000578,Bolton North East,372934,412475,-2.41050005,53.60810089,35964499.9881516,35845.8310935644
50,E14000579,Bolton South East,371679,406344,-2.4289,53.5530014,36796806.7746349,36093.7054885053
51,E14000580,Bolton West,364518,408253,-2.53719997,53.56969833,71777665.0161171,55639.7495027193
52,E14000581,Bootle,333951,397251,-2.99640012,53.46780014,25592844.3951369,24831.9605122813
53,E14000582,Boston and Skegness,537976,351211,0.05649,53.04040146,708102486.108712,236215.731834364
54,E14000583,Bosworth,439538,301379,-1.41750002,52.60879898,288999651.714651,109452.965760217
55,E14000584,Bournemouth East,411614,93655,-1.83669996,50.74240112,25207869.0522873,36557.0662649035
56,E14000585,Bournemouth West,406759,94023,-1.90550005,50.74580002,27111993.0141065,28297.1064429111
57,E14000586,Bracknell,483647,165246,-0.79939997,51.38010025,73921757.3996468,49006.758497101
58,E14000587,Bradford East,417427,433388,-1.73689997,53.79650116,28452996.1424446,36608.8435456456
59,E14000588,Bradford South,415841,429295,-1.76119995,53.75979996,43285351.554463,59128.0019039858
60,E14000589,Bradford West,412492,433844,-1.8118,53.80080032,35201219.0273342,40351.6814278102
61,E14000590,Braintree,577253,232650,0.57863998,51.96409988,467497405.490554,139293.525144858
62,E14000591,Brent Central,521541,185236,-0.2483,51.55289841,18254526.7730987,28854.2975535148
63,E14000592,Brent North,518094,186649,-0.29750001,51.56639862,20796063.0004568,29389.9900913811
64,E14000593,Brentford and Isleworth,516568,177052,-0.32269999,51.48040009,26119090.1847003,42649.7267281951
65,E14000594,Brentwood and Ongar,556779,200101,0.26618001,51.67779922,316746315.694295,97687.3293549692
66,E14000595,Bridgwater and West Somerset,302014,136702,-3.40140009,51.12120056,1082212992.4098,303500.311439222
67,E14000596,Brigg and Goole,476705,409463,-0.84299999,53.57619858,637305944.763724,264195.45505657
68,E14000597,"Brighton, Kemptown",534575,104472,-0.0906,50.82419968,39723256.6327735,45427.6234094764
69,E14000598,"Brighton, Pavilion",531231,107528,-0.13699999,50.85240173,29050485.780683,33749.8832067936
70,E14000599,Bristol East,362430,172547,-2.54200006,51.45059967,23715760.6878963,34069.4227283655
71,E14000600,Bristol North West,355048,178219,-2.64890003,51.50109863,44182267.225778,67785.2416442079
72,E14000601,Bristol South,358409,169601,-2.59949994,51.4239006,24566068.1203177,25696.5194028567
73,E14000602,Bristol West,359407,174253,-2.58570004,51.46580124,17233556.66275,22315.4804587356
74,E14000603,Broadland,617274,321242,1.21756995,52.74509811,764131144.57849,290123.836257289
75,E14000604,Bromley and Chislehurst,542971,170358,0.05453,51.41419983,29363100.3805912,37892.8052130923
76,E14000605,Bromsgrove,399840,273736,-2.00370002,52.36169815,217034253.088155,110407.938084476
77,E14000606,Broxbourne,534218,205427,-0.0578,51.73149872,66889113.6035179,47230.8978167363
78,E14000607,Broxtowe,450754,346085,-1.245,53.00970078,65834581.8174838,56000.322118151
79,E14000608,Buckingham,477472,222419,-0.87550002,51.89500046,866956359.551645,255511.048894969
80,E14000609,Burnley,384886,430882,-2.23079991,53.77410126,110687124.846611,56282.2959040553
81,E14000610,Burton,404391,334740,-1.93610001,52.91009903,243342338.449219,158151.575727278
82,E14000611,Bury North,379312,413522,-2.31419992,53.61780167,50992291.9634084,44600.2202811344
83,E14000612,Bury South,380354,406519,-2.2980001,53.55490112,48460303.5303188,47958.4450898826
84,E14000613,Bury St. Edmunds,594529,264764,0.84811002,52.24670029,502019564.197665,176833.567900403
85,E14000614,Calder Valley,403388,423842,-1.95009995,53.71099854,306259860.408133,122149.341789972
86,E14000615,Camberwell and Peckham,533978,176264,-0.0724,51.4695015,11381556.1416012,21357.0998462814
87,E14000616,Camborne and Redruth,171361,37224,-5.2045002,50.19079971,279362669.431531,152649.354280841
88,E14000617,Cambridge,545420,257901,0.12643,52.20019913,36184346.9355452,40616.4223286898
89,E14000618,Cannock Chase,401261,311553,-1.98269999,52.7016983,78894781.1282615,49300.3954419761
90,E14000619,Canterbury,615361,155814,1.08536005,51.26079941,248683819.601466,114365.671811949
91,E14000620,Carlisle,339781,552314,-2.93959999,54.86199951,210710315.970709,113691.818897018
92,E14000621,Carshalton and Wallington,528288,163524,-0.15889999,51.35630035,25493733.8109713,30944.4058667044
93,E14000622,Castle Point,579490,187921,0.58807999,51.56159973,45024377.1302734,65364.5951980757
94,E14000623,Central Devon,272816,92580,-3.80299997,50.71889877,1413376576.96606,291859.937600666
95,E14000624,Central Suffolk and North Ipswich,619438,262142,1.21070004,52.21379852,796198064.030564,194742.630968826
96,E14000625,Charnwood,458723,311183,-1.13250005,52.69520187,171491601.720458,121106.666936483
97,E14000626,Chatham and Aylesford,574815,163047,0.50843,51.33959961,61446646.7936217,83378.2978285371
98,E14000627,Cheadle,387557,385611,-2.18840003,53.36719894,39373105.2131418,38859.7910962551
99,E14000628,Chelmsford,571558,205432,0.48234001,51.72140121,42401898.6984523,37004.7271417578
100,E14000629,Chelsea and Fulham,525982,177080,-0.18719999,51.47859955,8274164.16902132,16688.430629976
101,E14000630,Cheltenham,394670,221154,-2.07879996,51.88890076,37209771.0339383,34078.9804106441
102,E14000631,Chesham and Amersham,495432,198692,-0.62110001,51.67890167,196377974.7787,86148.2261864684
103,E14000632,Chesterfield,440100,372487,-1.40050006,53.2478981,47343348.9237461,46208.6102108745
104,E14000633,Chichester,490172,116639,-0.71789998,50.94210052,621193103.954621,243605.85359621
105,E14000634,Chingford and Woodford Green,538751,192824,0.00273,51.61709976,19064732.5346548,21946.7053667509
106,E14000635,Chippenham,385912,164688,-2.20379996,51.3810997,167620987.789574,92863.506050992
107,E14000636,Chipping Barnet,525721,194354,-0.1848,51.63389969,34609115.6732818,38822.5274670837
108,E14000637,Chorley,358735,418081,-2.62579989,53.6576004,155191837.250558,75203.7155715492
109,E14000638,Christchurch,412843,100944,-1.81900001,50.80789948,108684084.395263,96506.2244264412
110,E14000639,Cities of London and Westminster,528186,180101,-0.15440001,51.50529861,16391009.8370866,28419.5168560951
111,E14000640,City of Chester,339234,361923,-2.91000009,53.15100098,133478096.327977,90695.8701253571
112,E14000641,City of Durham,427183,541519,-1.579,54.76789856,186642526.046599,97823.0359613122
113,E14000642,Clacton,618208,219640,1.16565001,51.83269882,132254114.934518,134601.764415975
114,E14000643,Cleethorpes,516863,415672,-0.2344,53.62459946,330370299.400236,153423.742904753
115,E14000644,Colchester,599674,224891,0.90007001,51.88679886,45612366.7099256,38891.6662902452
116,E14000645,Colne Valley,408584,411123,-1.87170005,53.59659958,180373687.788188,73430.6816675712
117,E14000646,Congleton,380524,363233,-2.29270005,53.16590118,211013880.07997,98375.4497913762
118,E14000647,Copeland,314472,504227,-3.3197,54.42630005,1184573877.46148,289081.876821669
119,E14000648,Corby,496882,284831,-0.57569999,52.45289993,553870843.536872,164772.554566287
120,E14000649,Coventry North East,436254,281108,-1.46819997,52.42679977,27184867.5819404,28407.5023341527
121,E14000650,Coventry North West,430295,281733,-1.55579996,52.43280029,38554591.5757078,32037.5372507591
122,E14000651,Coventry South,432903,277293,-1.51789999,52.3927002,32887520.7717766,42669.6499490811
123,E14000652,Crawley,526390,137581,-0.1953,51.12360001,44971580.7874792,38082.5809992094
124,E14000653,Crewe and Nantwich,371379,350813,-2.42840004,53.05379868,136192709.916399,65718.4459031106
125,E14000654,Croydon Central,535759,165277,-0.051,51.37030029,25697582.2205955,30817.6969256782
126,E14000655,Croydon North,532366,168762,-0.0984,51.40250015,17551185.2978214,20706.9600205326
127,E14000656,Croydon South,532475,160711,-0.0998,51.33010101,43298651.306487,38446.3310054633
128,E14000657,Dagenham and Rainham,551634,183167,0.18450999,51.52709961,40949597.6965061,46752.5167728841
129,E14000658,Darlington,429096,515409,-1.55180001,54.53310013,30047045.9371673,30949.9428125324
130,E14000659,Dartford,556489,173122,0.24999,51.4355011,85912505.6366826,71894.0232890985
131,E14000660,Daventry,469194,268437,-0.98640001,52.30970001,748512570.103958,208047.321669836
132,E14000661,Denton and Reddish,391356,394907,-2.1315999,53.45090103,25678016.8329899,43055.2032288965
133,E14000662,Derby North,432427,336128,-1.51909995,52.92160034,29516654.6235167,36069.7436055761
134,E14000663,Derby South,436265,333095,-1.46229994,52.89410019,31226841.3050842,31540.9504213153
135,E14000664,Derbyshire Dales,420966,359002,-1.68809998,53.12779999,910928945.383225,245460.582291147
136,E14000665,Devizes,413665,161526,-1.80509996,51.3526001,1023361486.43376,196670.573976676
137,E14000666,Dewsbury,421195,414257,-1.68099999,53.62440109,126049226.744619,75982.558672258
138,E14000667,Don Valley,460102,396080,-1.09630001,53.45809937,250914654.088697,121085.580548887
139,E14000668,Doncaster Central,460833,404244,-1.08369994,53.53139877,60570568.2311624,60427.6575773112
140,E14000669,Doncaster North,455325,408912,-1.16589999,53.57389832,256537996.039599,142952.555781792
141,E14000670,Dover,629114,147136,1.2766,51.17750168,214187787.05812,92675.8160449226
142,E14000671,Dudley North,392287,291911,-2.11509991,52.52500153,23052476.0695206,27864.6195451466
143,E14000672,Dudley South,391503,288292,-2.12649989,52.49250031,25395315.0911335,28088.6407330089
144,E14000673,Dulwich and West Norwood,532835,172745,-0.0902,51.43809891,14817075.9530524,20987.3864242891
145,E14000674,Ealing Central and Acton,519016,181119,-0.2861,51.51649857,17946294.3411003,24232.3133880332
146,E14000675,Ealing North,513800,183124,-0.36059999,51.53559875,23253067.6923124,26529.4332067197
147,E14000676,"Ealing, Southall",514022,180335,-0.3583,51.51039886,14351296.3838646,26168.1015594825
148,E14000677,Easington,441506,544447,-1.35599995,54.79320145,117706715.623138,69022.6542448314
149,E14000678,East Devon,305686,90923,-3.33710003,50.71030045,333253729.384072,115741.394492624
150,E14000679,East Ham,542702,183073,0.0558,51.5284996,18879195.2822398,27317.9328686476
151,E14000680,East Hampshire,474404,130897,-0.9393,51.07260132,463611220.061473,121820.285787624
152,E14000681,East Surrey,535127,149673,-0.066,51.2303009,259426949.378496,86993.558601645
153,E14000682,East Worthing and Shoreham,516687,106109,-0.34400001,50.84270096,55340636.6966788,60791.373649323
154,E14000683,East Yorkshire,494376,455529,-0.56209999,53.98720169,1052838195.22145,251161.764232833
155,E14000684,Eastbourne,560044,100404,0.26886001,50.78110123,54963679.6374607,36125.1877456992
156,E14000685,Eastleigh,447457,116523,-1.32579994,50.94620132,72646580.9518447,67442.1166856337
157,E14000686,Eddisbury,355955,357876,-2.65949988,53.11619949,712446172.602925,210130.561368601
158,E14000687,Edmonton,534700,194035,-0.0552,51.62900162,19749311.668055,22950.2999099629
159,E14000688,Ellesmere Port and Neston,342023,374067,-2.87050009,53.26039886,119754105.929798,115186.568542834
160,E14000689,Elmet and Rothwell,437927,442179,-1.42460001,53.87450027,246028167.398609,116076.606031962
161,E14000690,Eltham,542694,174625,0.05227,51.45259857,21587179.9426343,27337.181242024
162,E14000691,Enfield North,533311,198224,-0.0737,51.66699982,37256707.2819825,34760.5973495833
163,E14000692,"Enfield, Southgate",529426,196196,-0.13060001,51.64970016,25158346.1994093,37595.6648993214
164,E14000693,Epping Forest,542999,199636,0.06683,51.6772995,126214741.690543,73288.3148144568
165,E14000694,Epsom and Ewell,520890,161165,-0.26589999,51.33670044,51726762.3443133,35227.7320390442
166,E14000695,Erewash,446887,337932,-1.30379999,52.9367981,60051827.9411754,57288.1209743083
167,E14000696,Erith and Thamesmead,547906,179127,0.12910999,51.49169922,23342877.1053536,24561.1104346766
168,E14000697,Esher and Walton,513123,163563,-0.3766,51.35990143,80504415.5161401,44708.6700701181
169,E14000698,Exeter,293158,92888,-3.5150001,50.72570038,37982119.5337891,38552.8501940725
170,E14000699,Fareham,455613,106747,-1.2112,50.85760117,63276366.6925783,62157.9954936231
171,E14000700,Faversham and Mid Kent,589077,153142,0.70771003,51.24610138,388041991.584203,154414.377029296
172,E14000701,Feltham and Heston,510743,174852,-0.40720001,51.46179962,29843018.6013016,37620.8432958125
173,E14000702,Filton and Bradley Stoke,359917,181651,-2.57920003,51.53229904,80706325.3436847,64586.6186323278
174,E14000703,Finchley and Golders Green,525192,189003,-0.1943,51.58599854,20828970.8499919,25895.3445997946
175,E14000704,Folkestone and Hythe,610318,138086,1.00282001,51.10350037,433749831.000277,151486.482404101
176,E14000705,Forest of Dean,370366,223233,-2.43210006,51.90679932,584110634.295254,206629.840005789
177,E14000706,Fylde,340582,433974,-2.90350008,53.79869843,173959896.36643,110850.552268855
178,E14000707,Gainsborough,499314,390326,-0.50770003,53.40039825,1201076023.16229,243952.269518971
179,E14000708,Garston and Halewood,343589,385827,-2.84920001,53.36629868,51013491.7309976,37733.3185255612
180,E14000709,Gateshead,426033,561058,-1.59510005,54.94350052,24588364.3017639,32557.4062088596
181,E14000710,Gedling,462238,343793,-1.07430005,52.98789978,38139767.3298868,43421.6247796602
182,E14000711,Gillingham and Rainham,580021,165775,0.58446997,51.36249924,30445283.8222296,45980.5771590037
183,E14000712,Gloucester,384048,216342,-2.2328999,51.84550095,37703660.2368471,33621.1558659047
184,E14000713,Gosport,458429,101452,-1.17200005,50.80970001,36353364.5899604,41425.0282506124
185,E14000714,Grantham and Stamford,502953,323566,-0.4743,52.79990005,685725519.729955,165944.441341555
186,E14000715,Gravesham,566969,169115,0.39873999,51.39649963,99048609.4735103,58929.4058010103
187,E14000716,Great Grimsby,526243,408047,-0.0958,53.55390167,28059685.3936773,30063.6447313566
188,E14000717,Great Yarmouth,646760,315882,1.64949,52.68439865,174482186.801886,134848.969780382
189,E14000718,Greenwich and Woolwich,541975,178075,0.04332,51.48379898,16780427.3672009,33024.3297672084
190,E14000719,Guildford,499332,149061,-0.57859999,51.23210144,188725092.724536,118168.976673421
191,E14000720,Hackney North and Stoke Newington,533597,186241,-0.0741,51.55920029,9074018.24421133,15415.747298061
192,E14000721,Hackney South and Shoreditch,534514,184214,-0.0617,51.54079819,9985920.45984331,21264.515335036
193,E14000722,Halesowen and Rowley Regis,396407,285885,-2.05430007,52.47090149,29750092.9630561,35553.9231223514
194,E14000723,Halifax,408844,427072,-1.86730003,53.74000168,57723331.5661061,51479.1533764322
195,E14000724,Haltemprice and Howden,488260,432100,-0.66210002,53.77780151,431815099.076251,154268.014526161
196,E14000725,Halton,350931,385329,-2.73880005,53.36249924,50854158.5129137,61858.3064259966
197,E14000726,Hammersmith,523262,179604,-0.2254,51.50189972,11265622.2678356,18666.488386265
198,E14000727,Hampstead and Kilburn,525224,184366,-0.1955,51.54430008,12775697.6038222,22439.8680813826
199,E14000728,Harborough,467129,293798,-1.01160002,52.53789902,204883495.583385,112445.576512399
200,E14000729,Harlow,544823,209764,0.0974,51.76779938,79702315.4086906,73203.4412359436
201,E14000730,Harrogate and Knaresborough,433778,459121,-1.48580003,54.02700043,148164474.115503,85728.4502706469
202,E14000731,Harrow East,516589,191686,-0.3175,51.61190033,23704995.6318204,24657.5439345009
