objectid,pcon17cd,pcon17nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
370,E14000899,Rochford and Southend East,591941,188292,0.76769,51.56079865,93152189.615682,115154.743963998
371,E14000900,Romford,551408,190670,0.18448,51.5945015,29394228.7414858,31914.8846902781
372,E14000901,Romsey and Southampton North,436034,128163,-1.48720002,51.05170059,420374609.597065,155901.050251756
373,E14000902,Rossendale and Darwen,372446,420955,-2.41860008,53.68429947,217504761.788756,119913.273084111
374,E14000903,Rother Valley,449699,386114,-1.25450003,53.36959839,166704118.99362,70608.0499346535
375,E14000904,Rotherham,442371,392231,-1.36380005,53.42520142,45085016.3573713,51011.7656815125
376,E14000905,Rugby,446258,281329,-1.3211,52.4280014,246617526.879108,85920.8712794291
377,E14000906,"Ruislip, Northwood and Pinner",508439,189155,-0.43599999,51.59080124,49532001.2419192,40775.5494101139
378,E14000907,Runnymede and Weybridge,503012,166624,-0.52090001,51.3893013,93848883.8971342,54956.8836381159
379,E14000908,Rushcliffe,462332,332669,-1.07500005,52.88790131,309270627.881237,110370.111196405
380,E14000909,Rutland and Melton,484648,311819,-0.74879998,52.69749832,1117664037.69567,226139.161392789
381,E14000910,Saffron Walden,559857,226819,0.32295999,51.91699982,795363034.93567,185899.504760917
382,E14000911,Salford and Eccles,379701,400390,-2.30739999,53.49980164,31743451.8641876,33283.912307327
383,E14000912,Salisbury,412884,132088,-1.81739998,51.08800125,612601532.840757,172447.957962833
384,E14000913,Scarborough and Whitby,485778,506118,-0.67879999,54.44319916,738482115.720872,209476.636931154
385,E14000914,Scunthorpe,494110,405551,-0.58139998,53.53820038,182422833.823429,83974.091310805
386,E14000915,Sedgefield,431052,526108,-1.52049994,54.62919998,366835527.323148,178544.403485069
387,E14000916,Sefton Central,331658,404014,-3.03239989,53.52830124,83305404.8980591,72710.4194667401
388,E14000917,Selby and Ainsty,449167,442159,-1.25370002,53.87329865,844904355.245108,353082.731354643
389,E14000918,Sevenoaks,552010,159916,0.17996,51.31800079,249600215.729949,96909.006827592
390,E14000919,Sheffield Central,435726,386662,-1.46440005,53.37559891,20151561.8476642,31115.2376108494
391,E14000920,Sheffield South East,440551,388350,-1.39170003,53.39039993,44305666.1212998,47838.172792324
392,E14000921,"Sheffield, Brightside and Hillsborough",435434,390928,-1.46829998,53.41400146,27365525.4664871,27626.8014290621
393,E14000922,"Sheffield, Hallam",426415,388888,-1.60420001,53.39619827,135290580.543523,75457.5825863276
394,E14000923,"Sheffield, Heeley",436622,384071,-1.45120001,53.35229874,25260074.6572044,28398.6869686844
395,E14000924,Sherwood,460406,358481,-1.09879994,53.12009811,307238591.688307,121909.983140363
396,E14000925,Shipley,412611,439633,-1.80970001,53.85279846,95073948.1079959,80465.1500113549
397,E14000926,Shrewsbury and Atcham,346360,307551,-2.79450011,52.6629982,601618902.404858,159127.946466405
398,E14000927,Sittingbourne and Sheppey,587151,164862,0.68629003,51.35200119,239289560.590111,193096.148808474
399,E14000928,Skipton and Ripon,398261,462236,-2.02800012,54.05609894,2094241160.25391,337425.636480212
400,E14000929,Sleaford and North Hykeham,503640,352930,-0.45480001,53.06359863,1122343148.45186,206327.713942179
401,E14000930,Slough,496543,180461,-0.61000001,51.51480103,26921328.7050359,33405.2674192188
402,E14000931,Solihull,413056,280069,-1.80939996,52.41849899,32715004.6607505,30222.4285159623
403,E14000932,Somerton and Frome,364633,137241,-2.50679994,51.13330078,950798242.428975,249281.926655094
404,E14000933,South Basildon and East Thurrock,568418,183317,0.42631,51.52370071,131355205.878807,101109.024523244
405,E14000934,South Cambridgeshire,537837,254678,0.01424,52.1731987,629201866.60482,204001.932717291
406,E14000935,South Derbyshire,431434,325365,-1.53489995,52.82490158,338100132.740953,162488.281291627
407,E14000936,South Dorset,385852,85482,-2.20149994,50.66880035,371394867.130009,245094.495716653
408,E14000937,South East Cambridgeshire,553959,267334,0.25556999,52.2826004,750625493.290464,234591.294732612
409,E14000938,South East Cornwall,226464,62949,-4.44519997,50.44070053,719426241.081077,346067.195409239
410,E14000939,South Holland and The Deepings,532910,322822,-0.0306,52.78659821,779542765.128742,211406.087029778
411,E14000940,South Leicestershire,454415,290699,-1.19959998,52.51150131,284490312.29825,102117.32479937
412,E14000941,South Norfolk,629990,295823,1.38794005,52.51179886,791245602.963495,238752.987482031
413,E14000942,South Northamptonshire,463454,246589,-1.0747,52.11399841,610350346.302885,224400.260421389
414,E14000943,South Ribble,350238,421361,-2.75489998,53.68629837,196765680.592907,163071.458247966
415,E14000944,South Shields,437206,564561,-1.42030001,54.97430038,24606559.2288616,38172.3315931202
416,E14000945,South Staffordshire,389625,306836,-2.15479994,52.65919876,273717341.000165,150082.093335624
417,E14000946,South Suffolk,599988,244681,0.91614997,52.06439972,652669197.564092,211431.578350916
418,E14000947,South Swindon,419067,181604,-1.72650003,51.53300095,123765569.203952,70258.6004907948
419,E14000948,South Thanet,628499,158405,1.27498996,51.27890015,127572464.695015,124552.601509697
420,E14000949,South West Bedfordshire,498229,221850,-0.57410002,51.88660049,126612683.913508,69409.4769080809
421,E14000950,South West Devon,258137,56608,-3.99710011,50.39220047,370638402.464016,195244.521359801
422,E14000951,South West Hertfordshire,499430,208327,-0.56050003,51.76480103,173813876.701278,117827.703101977
423,E14000952,South West Norfolk,575310,297872,0.58423001,52.55049896,1310654630.82368,327767.976216143
424,E14000953,South West Surrey,492268,140635,-0.68190002,51.15750122,256288868.037901,101781.601855051
425,E14000954,South West Wiltshire,391047,139812,-2.12930012,51.15750122,737478066.314935,171638.166023211
426,E14000955,"Southampton, Itchen",445458,112143,-1.35479999,50.9070015,20347956.9961277,36345.2010237088
427,E14000956,"Southampton, Test",440222,114130,-1.42900002,50.92520142,22048498.5895007,30023.093773629
428,E14000957,Southend West,585151,187494,0.66943002,51.55590057,19676675.7132528,25098.002473568
429,E14000958,Southport,333085,415912,-3.01340008,53.63539886,46014446.198493,53741.9044710523
430,E14000959,Spelthorne,507012,169622,-0.46250001,51.41550064,51166269.7859585,43558.1711732547
431,E14000960,St. Albans,514325,205423,-0.3457,51.73590088,67236590.4820392,62708.8723889265
432,E14000961,St. Austell and Newquay,195455,57854,-4.87860012,50.38489914,396770238.535019,199992.959920959
433,E14000962,St. Helens North,351263,398699,-2.73580003,53.48270035,83853957.3084171,61318.7429217629
434,E14000963,St. Helens South and Whiston,351222,392412,-2.7355001,53.42620087,64116773.3644422,52357.5226787272
435,E14000964,St. Ives,141322,26416,-5.6171999,50.08140182,530400422.766976,356166.432920457
436,E14000965,Stafford,391013,320185,-2.13459992,52.77920151,291007547.59917,136115.927307866
437,E14000966,Staffordshire Moorlands,400043,355243,-2.00079989,53.0943985,513489485.112166,155154.913612162
438,E14000967,Stalybridge and Hyde,398011,398062,-2.03139997,53.47930145,63222053.4370958,43182.5866893243
439,E14000968,Stevenage,524285,223238,-0.1952,51.89379883,63429187.2551076,62059.8924692961
440,E14000969,Stockport,388819,390460,-2.16960001,53.41080093,21910761.888991,35878.7812189316
441,E14000970,Stockton North,444937,523121,-1.30589998,54.60129929,120637874.296899,99280.5599079642
