ONSConstID,ConstituencyName,RegionID,RegionName,All#,GbHasRelig,RegHasRelig%,HasReligion#,HasReligion%,GbChristian%,RegChristian%,Christian#,Christian%,GbBuddhist%,RegBuddhist%,Buddhist#,Buddhist%,GbHindu%,RegHindu%,Hindu#,Hindu%,GbJewish%,RegJewish%,Jewish#,Jewish%,GbMuslim%,RegMuslim%,Muslim#,Muslim%,GbSikh%,RegSikh%,Sikh#,Sikh%,GbOther%,RegOther%,Other#,Other%,GbNoReligion%,RegNoReligion%,NoReligion#,NoReligion%,GbNotStated%,RegNotStated%,NotStated#,GbNotStated%
E14000552,Bedford,E12000006,East of England,101066,0.666873424,0.648321138,70955,0.702065977,0.588114724,0.596559583,56722,0.561237211,0.004245273,0.003809327,354,0.003502662,0.013573312,0.009237271,1971,0.019502108,0.004386952,0.005956937,99,0.000979558,0.045343708,0.025370598,8008,0.079235351,0.00704259,0.003114949,2559,0.025320088,0.004166865,0.004272473,1242,0.012288999,0.261332921,0.279045967,23472,0.232244276,0.071793655,0.072632896,6639,0.065689747
E14000553,Bermondsey and Old Southwark,E12000007,London,126522,0.666873424,0.707960823,81259,0.64225194,0.588114724,0.484219791,64858,0.512622311,0.004245273,0.010035061,1921,0.01518313,0.013573312,0.050317344,2256,0.017830891,0.004386952,0.01817997,509,0.004023016,0.045343708,0.123908773,10808,0.085423879,0.00704259,0.015431234,333,0.002631953,0.004166865,0.00586865,574,0.00453676,0.261332921,0.207289483,35097,0.277398397,0.071793655,0.084749694,10166,0.080349663
S14000008,"Berwickshire, Roxburgh and Selkirk",S92000003,Scotland,94683,0.666873424,0.56393215,51888,0.548018124,0.588114724,0.538240243,51012,0.538766199,0.004245273,0.002416247,229,0.002418597,0.013573312,0.00309306,81,0.000855486,0.004386952,0.001111719,43,0.000454147,0.045343708,0.014491248,229,0.002418597,0.00704259,0.001709974,16,0.000168985,0.004166865,0.002869659,278,0.002936113,0.261332921,0.366566246,35318,0.373013107,0.071793655,0.069501604,7477,0.078968769
E14000554,Berwick-upon-Tweed,E12000001,North East,75718,0.666873424,0.705198842,54094,0.71441401,0.588114724,0.675167874,53332,0.704350353,0.004245273,0.002432144,178,0.002350828,0.013573312,0.002992815,27,0.000356586,0.004386952,0.001734,30,0.000396207,0.045343708,0.018007722,207,0.002733828,0.00704259,0.002296597,69,0.000911276,0.004166865,0.002567691,251,0.003314932,0.261332921,0.234011042,16372,0.216223355,0.071793655,0.060790116,5252,0.069362635
E14000555,Bethnal Green and Bow,E12000007,London,125351,0.666873424,0.707960823,79598,0.635000917,0.588114724,0.484219791,31321,0.249866375,0.004245273,0.010035061,1078,0.008599852,0.013573312,0.050317344,1166,0.00930188,0.004386952,0.01817997,815,0.006501743,0.045343708,0.123908773,44409,0.35427719,0.00704259,0.015431234,386,0.003079353,0.004166865,0.00586865,423,0.003374524,0.261332921,0.207289483,26518,0.211549968,0.071793655,0.084749694,19235,0.153449115
E14000556,Beverley and Holderness,E12000003,Yorkshire and The Humber,99748,0.666873424,0.6731769,68091,0.682630228,0.588114724,0.594999596,67133,0.673026026,0.004245273,0.002710016,221,0.002215583,0.013573312,0.004556248,131,0.00131331,0.004386952,0.001879164,70,0.000701768,0.045343708,0.061708266,234,0.002345912,0.00704259,0.0041976,30,0.000300758,0.004166865,0.00312601,272,0.002726872,0.261332921,0.258570787,24151,0.242120143,0.071793655,0.068252313,7506,0.075249629
E14000557,Bexhill and Battle,E12000008,South East,100727,0.666873424,0.649769594,66840,0.663575804,0.588114724,0.597600162,65060,0.645904276,0.004245273,0.005089435,322,0.00319676,0.013573312,0.010712412,207,0.00205506,0.004386952,0.002056921,190,0.001886287,0.045343708,0.023353427,472,0.004685933,0.00704259,0.006362778,13,0.000129062,0.004166865,0.004594458,576,0.005718427,0.261332921,0.276590058,25834,0.256475424,0.071793655,0.073640349,8053,0.079948772
E14000558,Bexleyheath and Crayford,E12000007,London,87848,0.666873424,0.707960823,59509,0.677408706,0.588114724,0.484219791,53984,0.614515982,0.004245273,0.010035061,487,0.005543666,0.013573312,0.050317344,1389,0.015811402,0.004386952,0.01817997,70,0.000796831,0.045343708,0.123908773,1888,0.021491667,0.00704259,0.015431234,1424,0.016209817,0.004166865,0.00586865,267,0.003039341,0.261332921,0.207289483,22129,0.251901011,0.071793655,0.084749694,6210,0.070690283
E14000559,Birkenhead,E12000002,North West,88818,0.666873424,0.739730724,62433,0.702931838,0.588114724,0.672538423,60633,0.682665676,0.004245273,0.002934555,295,0.003321399,0.013573312,0.005425133,200,0.002251796,0.004386952,0.004313136,72,0.000810646,0.045343708,0.05054581,898,0.010110563,0.00704259,0.001255924,120,0.001351077,0.004166865,0.002717742,215,0.00242068,0.261332921,0.198224747,20446,0.230201085,0.071793655,0.062044529,5939,0.066867076
E14000560,"Birmingham, Edgbaston",E12000005,West Midlands,96568,0.666873424,0.714488275,65967,0.683114489,0.588114724,0.602203166,50605,0.524034877,0.004245273,0.002972055,599,0.006202883,0.013573312,0.012896996,2882,0.029844255,0.004386952,0.000824906,517,0.00535374,0.045343708,0.067147853,6765,0.070054262,0.00704259,0.023863736,4152,0.042995609,0.004166865,0.004579561,447,0.004628863,0.261332921,0.219732885,23893,0.247421506,0.071793655,0.06577884,6708,0.069464005
E14000561,"Birmingham, Erdington",E12000005,West Midlands,97778,0.666873424,0.714488275,66662,0.681768905,0.588114724,0.602203166,56252,0.575303238,0.004245273,0.002972055,364,0.003722719,0.013573312,0.012896996,957,0.009787478,0.004386952,0.000824906,95,0.000971589,0.045343708,0.067147853,7599,0.077716869,0.00704259,0.023863736,1003,0.010257931,0.004166865,0.004579561,392,0.004009082,0.261332921,0.219732885,24320,0.248726707,0.071793655,0.06577884,6796,0.069504387
E14000562,"Birmingham, Hall Green",E12000005,West Midlands,115904,0.666873424,0.714488275,94186,0.81262079,0.588114724,0.602203166,30855,0.266211692,0.004245273,0.002972055,423,0.003649572,0.013573312,0.012896996,3996,0.034476808,0.004386952,0.000824906,333,0.002873067,0.045343708,0.067147853,53990,0.465816538,0.00704259,0.023863736,4165,0.035934912,0.004166865,0.004579561,424,0.0036582,0.261332921,0.219732885,14682,0.126673799,0.071793655,0.06577884,7036,0.060705411
E14000563,"Birmingham, Hodge Hill",E12000005,West Midlands,121678,0.666873424,0.714488275,100833,0.828687191,0.588114724,0.602203166,35733,0.293668535,0.004245273,0.002972055,214,0.00175874,0.013573312,0.012896996,504,0.00414208,0.004386952,0.000824906,74,0.000608163,0.045343708,0.067147853,63417,0.521187068,0.00704259,0.023863736,680,0.005588521,0.004166865,0.004579561,211,0.001734085,0.261332921,0.219732885,13616,0.111901905,0.071793655,0.06577884,7229,0.059410904
E14000564,"Birmingham, Ladywood",E12000005,West Midlands,126693,0.666873424,0.714488275,97745,0.77151066,0.588114724,0.602203166,41217,0.325329734,0.004245273,0.002972055,1178,0.009298067,0.013573312,0.012896996,4227,0.033364116,0.004386952,0.000824906,176,0.001389185,0.045343708,0.067147853,44626,0.352237298,0.00704259,0.023863736,5411,0.042709542,0.004166865,0.004579561,910,0.007182717,0.261332921,0.219732885,20019,0.158011887,0.071793655,0.06577884,8929,0.070477453
E14000565,"Birmingham, Northfield",E12000005,West Midlands,101422,0.666873424,0.714488275,65631,0.647108122,0.588114724,0.602203166,61643,0.607787265,0.004245273,0.002972055,311,0.003066396,0.013573312,0.012896996,481,0.004742561,0.004386952,0.000824906,130,0.001281773,0.045343708,0.067147853,2292,0.022598647,0.00704259,0.023863736,372,0.003667843,0.004166865,0.004579561,402,0.003963637,0.261332921,0.219732885,28940,0.285342431,0.071793655,0.06577884,6851,0.067549447
E14000566,"Birmingham, Perry Barr",E12000005,West Midlands,107090,0.666873424,0.714488275,86616,0.808815015,0.588114724,0.602203166,44612,0.416584182,0.004245273,0.002972055,641,0.00598562,0.013573312,0.012896996,4469,0.041731254,0.004386952,0.000824906,80,0.000747035,0.045343708,0.067147853,24268,0.226613129,0.00704259,0.023863736,10842,0.101241946,0.004166865,0.004579561,1704,0.01591185,0.261332921,0.219732885,13572,0.126734522,0.071793655,0.06577884,6902,0.064450462
E14000567,"Birmingham, Selly Oak",E12000005,West Midlands,104067,0.666873424,0.714488275,68418,0.65744184,0.588114724,0.602203166,55730,0.535520386,0.004245273,0.002972055,532,0.005112091,0.013573312,0.012896996,1882,0.018084503,0.004386952,0.000824906,578,0.005554114,0.045343708,0.067147853,7632,0.073337369,0.00704259,0.023863736,1581,0.015192136,0.004166865,0.004579561,483,0.004641241,0.261332921,0.219732885,28689,0.275678169,0.071793655,0.06577884,6960,0.066879991
E14000568,"Birmingham, Yardley",E12000005,West Midlands,106738,0.666873424,0.714488275,80634,0.75543855,0.588114724,0.602203166,54390,0.509565478,0.004245273,0.002972055,248,0.002323446,0.013573312,0.012896996,1522,0.014259214,0.004386952,0.000824906,94,0.000880661,0.045343708,0.067147853,21992,0.206037213,0.00704259,0.023863736,2096,0.019636868,0.004166865,0.004579561,292,0.002735671,0.261332921,0.219732885,19287,0.180694785,0.071793655,0.06577884,6817,0.063866664
E14000569,Bishop Auckland,E12000001,North East,87143,0.666873424,0.705198842,65690,0.753818436,0.588114724,0.675167874,64948,0.745303696,0.004245273,0.002432144,149,0.001709833,0.013573312,0.002992815,75,0.000860654,0.004386952,0.001734,19,0.000218032,0.045343708,0.018007722,173,0.001985243,0.00704259,0.002296597,72,0.000826228,0.004166865,0.002567691,254,0.002914749,0.261332921,0.234011042,16185,0.185729204,0.071793655,0.060790116,5268,0.06045236
E14000570,Blackburn,E12000002,North West,107246,0.666873424,0.739730724,89083,0.830641702,0.588114724,0.672538423,49127,0.458077691,0.004245273,0.002934555,215,0.002004737,0.013573312,0.005425133,504,0.004699476,0.004386952,0.004313136,39,0.00036365,0.045343708,0.05054581,38887,0.362596274,0.00704259,0.001255924,125,0.001165545,0.004166865,0.002717742,186,0.00173433,0.261332921,0.198224747,12327,0.11494135,0.071793655,0.062044529,5836,0.054416948
E14000571,Blackley and Broughton,E12000002,North West,110754,0.666873424,0.739730724,84708,0.764830164,0.588114724,0.672538423,55856,0.5043249,0.004245273,0.002934555,668,0.006031385,0.013573312,0.005425133,738,0.006663416,0.004386952,0.004313136,7991,0.072150893,0.045343708,0.05054581,18538,0.167379959,0.00704259,0.001255924,603,0.005444499,0.004166865,0.002717742,314,0.002835112,0.261332921,0.198224747,18405,0.1661791,0.071793655,0.062044529,7641,0.068990736
E14000572,Blackpool North and Cleveleys,E12000002,North West,83391,0.666873424,0.739730724,59050,0.708109988,0.588114724,0.672538423,57723,0.692197,0.004245273,0.002934555,236,0.002830042,0.013573312,0.005425133,138,0.001654855,0.004386952,0.004313136,140,0.001678838,0.045343708,0.05054581,434,0.005204399,0.00704259,0.001255924,31,0.000371743,0.004166865,0.002717742,348,0.004173112,0.261332921,0.198224747,18891,0.226535238,0.071793655,0.062044529,5450,0.065354774
E14000573,Blackpool South,E12000002,North West,81266,0.666873424,0.739730724,56061,0.689845692,0.588114724,0.672538423,54451,0.670034209,0.004245273,0.002934555,267,0.003285507,0.013573312,0.005425133,214,0.002633328,0.004386952,0.004313136,129,0.00158738,0.045343708,0.05054581,656,0.008072257,0.00704259,0.001255924,37,0.000455295,0.004166865,0.002717742,307,0.003777718,0.261332921,0.198224747,20128,0.247680457,0.071793655,0.062044529,5077,0.062473851
