ID,Name,Region,Atrial Fibrilliation,Asthma,Cancer,Coronary Heart Disease,Chronic Kidney Disease,COPD,Cardiovascular Disease (Primary Prevention),Dementia,Depression,Diabetes,Epilepsy,Heart Failure,High Blood Pressure,Learning Disabilities,Serious Mental Illness,Obesity,Osteoporisis,Peripheral Arterial Disease,Palliative Care,Rheumatoid Arthritis,Stroke & Transient Ischaemic Attack
E14000613,Bury St Edmunds,East of England,0.0245,0.07624,0.03506,0.03434,0.04816,0.01968,0.01283,0.00949,0.08913,0.06395,0.00811,0.01109,0.15729,0.00573,0.00821,0.09836,0.01232,0.00583,0.00396,0.00807,0.01976
E14000614,Calder Valley,Yorkshire and The Humber,0.0197,0.06609,0.0304,0.03447,0.0358,0.02172,0.01021,0.007,0.11942,0.05851,0.00965,0.00843,0.13641,0.00479,0.01004,0.1044,0.00407,0.0075,0.00525,0.00728,0.01913
E14000615,Camberwell and Peckham,London,0.00736,0.04259,0.01433,0.01297,0.01965,0.01248,0.01176,0.00426,0.08071,0.06687,0.00522,0.00444,0.11128,0.00348,0.01327,0.08687,0.00286,0.0033,0.00194,0.00473,0.0093
E14000616,Camborne and Redruth,South West,0.02429,0.06959,0.0297,0.04071,0.05267,0.02332,0.0136,0.00767,0.10788,0.06799,0.00985,0.01236,0.15192,0.00694,0.00931,0.11824,0.00544,0.00655,0.00208,0.00911,0.02686
E14000617,Cambridge,East of England,0.01156,0.04793,0.01791,0.01557,0.01371,0.00996,0.00832,0.00431,0.06879,0.03172,0.0046,0.00404,0.07373,0.00294,0.01038,0.04526,0.00378,0.00313,0.00228,0.00421,0.00886
E14000618,Cannock Chase,West Midlands,0.02068,0.05889,0.03168,0.03888,0.04222,0.02491,0.01101,0.0077,0.11881,0.07689,0.01007,0.00961,0.16218,0.00614,0.00702,0.11911,0.00478,0.00669,0.00309,0.01126,0.01935
E14000619,Canterbury,South East,0.02141,0.05195,0.03131,0.02684,0.039,0.01601,0.01125,0.00741,0.10462,0.04866,0.00711,0.00651,0.12371,0.00453,0.0096,0.05707,0.00871,0.00478,0.00165,0.00583,0.01682
E14000620,Carlisle,North West,0.02117,0.06317,0.03479,0.04837,0.06265,0.02256,0.01059,0.00895,0.16566,0.07113,0.01025,0.01212,0.1493,0.0055,0.01236,0.10841,0.00662,0.01214,0.00497,0.01035,0.02256
E14000621,Carshalton and Wallington,London,0.01451,0.05687,0.02439,0.02481,0.03468,0.01535,0.00975,0.0066,0.09343,0.07008,0.00759,0.0062,0.12501,0.0056,0.00971,0.08684,0.00775,0.00424,0.00411,0.00668,0.01267
E14000622,Castle Point,East of England,0.02176,0.05816,0.03098,0.03711,0.05,0.0253,0.01282,0.00795,0.09231,0.07603,0.00796,0.01024,0.1796,0.00456,0.00686,0.10346,0.00272,0.00484,0.00387,0.00924,0.01872
E14000623,Central Devon,South West,0.02846,0.06605,0.03716,0.03701,0.05155,0.02052,0.01155,0.00886,0.09588,0.06833,0.00797,0.00929,0.16356,0.00515,0.00803,0.09979,0.00535,0.00629,0.00227,0.00844,0.02361
E14000624,Central Suffolk and North Ipswich,East of England,0.02369,0.0645,0.03253,0.03528,0.05342,0.01644,0.01243,0.00982,0.09531,0.05915,0.0082,0.00949,0.1478,0.00435,0.00763,0.10067,0.00573,0.0049,0.00447,0.00752,0.01936
E14000625,Charnwood,East Midlands,0.02084,0.05738,0.02775,0.03029,0.03435,0.01721,0.01189,0.00944,0.1107,0.07153,0.00816,0.00938,0.149,0.00448,0.007,0.08469,0.00289,0.00441,0.00725,0.00828,0.01754
E14000626,Chatham and Aylesford,South East,0.01665,0.0513,0.02432,0.02589,0.03664,0.01978,0.0122,0.00577,0.11646,0.07333,0.00877,0.00773,0.136,0.0043,0.00699,0.0897,0.00493,0.00458,0.00311,0.00829,0.01305
E14000627,Cheadle,North West,0.02335,0.06338,0.03228,0.03653,0.02706,0.01739,0.01166,0.00938,0.1084,0.06426,0.00785,0.00989,0.14511,0.00486,0.00794,0.06552,0.00806,0.00664,0.0038,0.00647,0.02092
E14000628,Chelmsford,East of England,0.01842,0.05825,0.02659,0.0262,0.03675,0.0135,0.01044,0.00695,0.08119,0.06025,0.00791,0.00512,0.12924,0.00319,0.00811,0.07475,0.00467,0.0033,0.00167,0.00708,0.01546
E14000629,Chelsea and Fulham,London,0.01193,0.03659,0.02037,0.01691,0.01849,0.01183,0.0098,0.00473,0.07031,0.03755,0.00464,0.0044,0.08528,0.0017,0.01293,0.04536,0.00384,0.00349,0.00302,0.00397,0.0104
E14000630,Cheltenham,South West,0.02055,0.06357,0.02896,0.0285,0.05498,0.01689,0.00785,0.00898,0.09326,0.05421,0.00879,0.00832,0.1183,0.00432,0.00894,0.07833,0.00795,0.00671,0.00257,0.00685,0.01737
E14000631,Chesham and Amersham,South East,0.02205,0.05868,0.03268,0.0277,0.03172,0.01213,0.01049,0.00884,0.07842,0.05419,0.00672,0.00578,0.13302,0.00422,0.00682,0.06394,0.00629,0.00468,0.00718,0.00587,0.01696
E14000632,Chesterfield,East Midlands,0.02352,0.06726,0.03164,0.04039,0.06881,0.02544,0.01202,0.00966,0.13615,0.08127,0.00985,0.01063,0.17174,0.00711,0.01313,0.12907,0.0039,0.00819,0.00652,0.00805,0.02317
E14000633,Chichester,South East,0.02843,0.06249,0.03816,0.03733,0.04357,0.01758,0.01156,0.01037,0.08897,0.06636,0.0077,0.00843,0.15269,0.00446,0.00845,0.08057,0.00538,0.00564,0.00481,0.00653,0.0228
E14000634,Chingford and Woodford Green,London,0.01546,0.0494,0.02287,0.02364,0.02723,0.01222,0.01069,0.00696,0.07284,0.0603,0.00573,0.00626,0.12687,0.00284,0.00921,0.07394,0.00393,0.00356,0.00383,0.0062,0.01287
E14000635,Chippenham,South West,0.02325,0.06401,0.03277,0.03186,0.0491,0.01683,0.00971,0.00903,0.09011,0.06507,0.00865,0.00851,0.15344,0.00465,0.00825,0.09109,0.0043,0.00538,0.00209,0.00785,0.02014
E14000636,Chipping Barnet,London,0.01659,0.04852,0.02744,0.02625,0.03617,0.01369,0.00917,0.00805,0.07493,0.06383,0.00681,0.00625,0.12446,0.0044,0.01059,0.07048,0.01182,0.00401,0.00309,0.00544,0.0142
E14000637,Chorley,North West,0.02112,0.06744,0.03127,0.03785,0.06637,0.02448,0.01233,0.00849,0.13448,0.06768,0.00909,0.01037,0.15225,0.00588,0.00935,0.10333,0.00386,0.00866,0.00402,0.00878,0.01912
E14000638,Christchurch,South West,0.03706,0.06777,0.04996,0.05527,0.06105,0.02159,0.01187,0.01551,0.06477,0.07133,0.00714,0.01168,0.18822,0.00529,0.00753,0.07785,0.01058,0.00715,0.00822,0.01173,0.03169
E14000639,Cities of London and Westminster,London,0.01185,0.03435,0.01991,0.01684,0.01419,0.01005,0.00959,0.00464,0.06229,0.03877,0.00424,0.00521,0.08444,0.00189,0.01667,0.04655,0.00381,0.00312,0.00281,0.00408,0.00984
E14000640,City of Chester,North West,0.02215,0.06236,0.03013,0.03206,0.03062,0.01884,0.01482,0.008,0.10126,0.05747,0.00758,0.00879,0.1315,0.0043,0.01049,0.09901,0.00817,0.00779,0.0028,0.01032,0.01932
E14000641,City of Durham,North East,0.01814,0.05606,0.02464,0.03571,0.02915,0.01854,0.01017,0.00708,0.09814,0.05807,0.00652,0.01034,0.12953,0.00395,0.00843,0.08893,0.00862,0.00633,0.00607,0.00655,0.01927
E14000642,Clacton,East of England,0.03028,0.07217,0.0397,0.0509,0.06305,0.03747,0.01526,0.01191,0.09092,0.09486,0.01104,0.01364,0.21651,0.00708,0.01145,0.14013,0.00267,0.00971,0.00818,0.01152,0.02739
E14000643,Cleethorpes,Yorkshire and The Humber,0.02351,0.06348,0.03217,0.04046,0.06373,0.02513,0.01273,0.00996,0.09488,0.07811,0.01026,0.00775,0.16941,0.00505,0.00775,0.11187,0.00514,0.00709,0.00471,0.00856,0.02321
E14000644,Colchester,East of England,0.01641,0.05624,0.02558,0.02465,0.04361,0.01574,0.01039,0.00582,0.1186,0.05456,0.00814,0.00787,0.12248,0.00623,0.0101,0.10332,0.00513,0.00415,0.00572,0.0062,0.01352
E14000645,Colne Valley,Yorkshire and The Humber,0.01875,0.06875,0.0278,0.03421,0.03588,0.01832,0.0107,0.00762,0.10738,0.06209,0.00862,0.00845,0.13718,0.00653,0.0093,0.10798,0.00713,0.00746,0.00359,0.00743,0.01892
E14000646,Congleton,North West,0.02666,0.06292,0.03614,0.03642,0.05572,0.01778,0.01069,0.01044,0.11762,0.06938,0.0088,0.01247,0.16363,0.00346,0.00854,0.09826,0.01198,0.00683,0.00509,0.00877,0.02374
E14000647,Copeland,North West,0.02515,0.07057,0.03477,0.04927,0.0566,0.02836,0.01275,0.00946,0.12466,0.0829,0.01006,0.01449,0.1687,0.00682,0.01065,0.10293,0.01005,0.012,0.00537,0.01038,0.02694
E14000648,Corby,East Midlands,0.01875,0.05949,0.02996,0.0338,0.03882,0.02612,0.0123,0.00788,0.12576,0.06761,0.00803,0.01047,0.14076,0.00423,0.00744,0.1076,0.00537,0.00734,0.00257,0.0087,0.01905
E14000649,Coventry North East,West Midlands,0.01225,0.05587,0.01896,0.02411,0.04085,0.01635,0.00982,0.00393,0.10123,0.07924,0.00801,0.0062,0.13168,0.00517,0.0108,0.10321,0.00407,0.00559,0.00186,0.00755,0.01407
E14000650,Coventry North West,West Midlands,0.01403,0.05279,0.02112,0.02277,0.04409,0.01444,0.01139,0.00691,0.08934,0.06037,0.0073,0.00668,0.12512,0.00375,0.00894,0.08851,0.00632,0.00524,0.00266,0.00658,0.01473
E14000651,Coventry South,West Midlands,0.01424,0.0526,0.02188,0.02271,0.03859,0.01485,0.00963,0.00535,0.08412,0.05911,0.00679,0.00638,0.12268,0.00405,0.00961,0.08544,0.00549,0.0049,0.00194,0.00631,0.01438
E14000652,Crawley,South East,0.01439,0.05781,0.02275,0.02691,0.04273,0.01521,0.0112,0.00587,0.09758,0.07165,0.00706,0.00574,0.12318,0.00572,0.0077,0.10623,0.00493,0.00405,0.00191,0.00754,0.01355
E14000653,Crewe and Nantwich,North West,0.02202,0.05679,0.02956,0.03435,0.0456,0.01854,0.01194,0.00739,0.11776,0.0685,0.00894,0.01004,0.15131,0.00398,0.00901,0.09832,0.00885,0.00773,0.00444,0.00856,0.02097
E14000654,Croydon Central,London,0.0129,0.0472,0.02049,0.02321,0.03075,0.01444,0.0105,0.0052,0.06829,0.06737,0.00681,0.00564,0.12619,0.00536,0.01077,0.07884,0.00259,0.00401,0.00405,0.00793,0.0128
E14000655,Croydon North,London,0.00775,0.04532,0.01714,0.01834,0.02418,0.01011,0.01122,0.00449,0.05785,0.07875,0.00556,0.00459,0.11762,0.00484,0.01227,0.09661,0.0022,0.00316,0.00291,0.00652,0.01084
