ID,Name,Region Name,Year,Cons. A*-C %,Cons. KS4 Avg Att. 8,Cons. % Outstanding (Secondary),Cons. % Good (Secondary),Cons. % In need of Improvement (Secondary),Cons. % Inadequate (Secondary),Cons. % Outstanding (Primary),Cons. % Good (Primary),Cons. % In need of Improvement (Primary),Cons. % Inadequate (Primary),Cons. Average Progress 8,
E14000593,Brentford and Isleworth,London,2017,0.661,46.5,0.44,0.33,0.22,0.00,0.25,0.67,0.08,0.00,0.3,
E14000594,Brentwood and Ongar,East,2017,0.785,50.1,0.33,0.50,0.17,0.00,0.24,0.73,0.03,0.00,0.03,
E14000595,Bridgwater and West Somerset,South West,2017,0.564,44.0,0.00,0.88,0.13,0.00,0.09,0.72,0.14,0.05,-0.05,
E14000596,Brigg and Goole,Yorkshire and The Humber,2017,0.653,45.3,0.00,0.86,0.14,0.00,0.18,0.67,0.15,0.00,0.01,
E14000597,"Brighton, Kemptown",South East,2017,0.505,37.7,0.00,0.33,0.67,0.00,0.06,0.88,0.06,0.00,-0.64,
E14000598,"Brighton, Pavilion",South East,2017,0.698,48.3,0.00,1.00,0.00,0.00,0.24,0.67,0.10,0.00,-0.15,
E14000599,Bristol East,South West,2017,0.526,41.5,0.00,0.50,0.50,0.00,0.09,0.68,0.14,0.09,-0.01,
E14000600,Bristol North West,South West,2017,0.559,42.4,0.00,0.83,0.17,0.00,0.39,0.54,0.04,0.04,-0.29,
E14000601,Bristol South,South West,2017,0.458,37.8,0.00,0.83,0.00,0.17,0.19,0.58,0.08,0.15,-0.65,
E14000602,Bristol West,South West,2017,0.780,52.4,0.83,0.00,0.00,0.17,0.31,0.50,0.12,0.08,0.15,
E14000603,Broadland,East,2017,0.695,48.7,0.00,0.80,0.00,0.20,0.15,0.78,0.02,0.05,0.13,
E14000604,Bromley and Chislehurst,London,2017,0.672,47.1,0.20,0.60,0.20,0.00,0.18,0.73,0.09,0.00,0.03,
E14000605,Bromsgrove,West Midlands,2017,0.673,47.2,0.55,0.45,0.00,0.00,0.24,0.68,0.04,0.04,-0.21,
E14000606,Broxbourne,East,2017,0.639,46.3,0.00,0.57,0.29,0.14,0.09,0.72,0.16,0.03,-0.05,
E14000607,Broxtowe,East Midlands,2017,0.672,48.6,0.20,0.80,0.00,0.00,0.07,0.79,0.14,0.00,0.1,
E14000608,Buckingham,South East,2017,0.728,49.1,0.33,0.50,0.00,0.17,0.20,0.76,0.02,0.02,-0.1,
E14000609,Burnley,North West,2017,0.538,39.0,0.00,0.71,0.14,0.14,0.03,0.83,0.10,0.03,-0.34,
E14000610,Burton,West Midlands,2017,0.604,43.0,0.00,0.80,0.20,0.00,0.12,0.74,0.03,0.12,-0.16,
E14000611,Bury North,North West,2017,0.648,46.8,0.14,0.71,0.14,0.00,0.27,0.61,0.09,0.03,-0.15,
E14000612,Bury South,North West,2017,0.609,44.9,0.17,0.33,0.17,0.33,0.07,0.77,0.13,0.03,-0.16,
E14000613,Bury St Edmunds,East,2017,0.648,44.8,0.13,0.75,0.13,0.00,0.19,0.67,0.11,0.03,-0.03,
E14000614,Calder Valley,Yorkshire and The Humber,2017,0.638,46.8,0.00,0.86,0.14,0.00,0.19,0.71,0.06,0.04,-0.03,
E14000615,Camberwell and Peckham,London,2017,0.644,49.6,0.63,0.38,0.00,0.00,0.17,0.70,0.13,0.00,0.57,
E14000616,Camborne and Redruth,South West,2017,0.598,46.2,0.00,1.00,0.00,0.00,0.18,0.79,0.03,0.00,0,
E14000617,Cambridge,East,2017,0.766,54.3,0.60,0.20,0.20,0.00,0.14,0.64,0.18,0.05,0.48,
E14000618,Cannock Chase,West Midlands,2017,0.497,42.6,0.00,0.67,0.17,0.17,0.04,0.78,0.19,0.00,-0.2,
E14000619,Canterbury,South East,2017,0.511,45.0,0.25,0.75,0.00,0.00,0.28,0.60,0.08,0.04,-0.19,
E14000620,Carlisle,North West,2017,0.583,45.0,0.00,0.80,0.00,0.20,0.03,0.83,0.10,0.03,-0.1,
E14000621,Carshalton and Wallington,London,2017,0.746,56.0,0.38,0.63,0.00,0.00,0.21,0.67,0.04,0.08,0.23,
E14000622,Castle Point,East,2017,0.631,44.9,0.40,0.20,0.40,0.00,0.22,0.65,0.04,0.09,-0.04,
E14000623,Central Devon,South West,2017,0.687,47.6,0.25,0.50,0.25,0.00,0.11,0.84,0.04,0.00,0,
E14000624,Central Suffolk and North Ipswich,East,2017,0.681,47.2,0.38,0.50,0.13,0.00,0.17,0.69,0.12,0.02,-0.03,
E14000625,Charnwood,East Midlands,2017,0.659,45.4,0.17,0.67,0.17,0.00,0.23,0.70,0.07,0.00,-0.14,
